Base Symbol,Quote Symbol,Timestamp,Open,High,Low,Close,Volume
NOT,TON,1717200000,0.0115621724244777,0.0143270630589399,0.0115263441671702,0.0142845426642205,3839090.097337764
NOT,USD₮,1717200000,0.0115670171062772,0.0143267766798959,0.01152642012292,0.0139168686384,1618375.0856475718
USD₮,TON,1717200000,1.00399542395781,1.01363250821247,0.990544332090979,0.99504128808,2523922.692692649
NOT,TON,1717200000,0.0118494325864944,0.0143647604265725,0.0114774084035953,0.0143263838143856,623849.6924062527
USD₮,TON,1717200000,1.00514599825141,1.01319523157612,0.988641860558753,1.00118932949099,1044025.9965839515
BOOBA,TON,1717200000,0.0122649410621397,0.0122965487047299,0.0111441411417532,0.0112550856371583,52515.81602042516
KAKAXA,TON,1717200000,0.0214555505428648,0.0219180107711626,0.0203910264215135,0.0205575532938,19674.47765596127
SHIT,TON,1717200000,0.039950906407506,0.0400252439435996,0.0387252782627076,0.0390314448166146,102963.32286834207
JETTON,TON,1717200000,1.71799130460261,1.72787229802982,1.64888379592,1.67701370094524,66150.00845621453
WON,TON,1717200000,0.0165175419340019,0.019512218733981,0.0160640660846206,0.0190972477068475,242010.7586882267
GRAM,TON,1717200000,0.0148697873707423,0.0164555393728577,0.0137438579194391,0.0142836670273472,273653.75960918446
STON,TON,1717200000,13.4217048867708,13.4435072759524,12.9103199865185,12.9744403906599,54635.02079120914
MMM,TON,1717200000,0.122946702442313,0.127783122800612,0.120318565152724,0.121153778646663,102428.55973691575
durev,TON,1717200000,0.0764348410608908,0.0775118019034933,0.0716986211907759,0.0736654395876667,85590.48696552007
MITTENS,TON,1717200000,0.00172973594712256,0.00270277418179988,0.00150224448133449,0.00223714521660593,64295.08355083748
ANON,TON,1717200000,0.0107991972065592,0.0109806477797165,0.0105651588870676,0.0106484616357955,93715.52284634513
PUNK,TON,1717200000,1.58876974875513,1.60439465285501,1.56182865627008,1.58186319150563,14773.02371188223
KINGY,TON,1717200000,0.297366330166667,0.32440636623,0.281603000337097,0.302237586,7339.05297439889
BRETT,TON,1717200000,3.65435602934621e-05,4.02029440814659e-05,3.65017657481148e-05,3.91407556213056e-05,498.39844250762
SCALE,TON,1717200000,5.20217315332,5.32089761765279,5.12974314224899,5.26581232047277,48167.93904019797
FISH,TON,1717200000,3.35879419448062e-08,3.42703013041663e-08,3.27138695156044e-08,3.3118843149e-08,62081.89749300669
REDO,TON,1717200000,0.57158567877665,0.576633944064196,0.543964959904828,0.546103281134643,135693.68756438544
wNOT,TON,1717200000,1.14088630157251e-05,1.39533058984019e-05,1.14088630157251e-05,1.39533058984019e-05,64463.96450869679
KONG,TON,1717200000,6.0087617188e-05,6.0087617188e-05,5.71920698899838e-05,5.79094191591978e-05,2206.99694852494
jUSDT,TON,1717200000,0.988710215257037,1.01347108064917,0.944479560887612,0.986091466818361,25806.52172251179
SHIT,TON,1717200000,0.040301562014167,0.040301562014167,0.0387630787933334,0.0387630787933334,11214.46169413921
WEB3,TON,1717200000,1.38809523809524,1.396537466791,1.32475498906667,1.32703409373304,21286.39606573849
RAFF,TON,1717200000,0.587591135150543,0.590825076125463,0.572388599321194,0.575070639263488,45135.74280555991
durev,TON,1717200000,0.0755661693796208,0.0764868366915353,0.0720583543897915,0.0733473999060314,46740.87569148607
NOT,USD₮,1717200000,0.0118494325864943,0.0141104475301487,0.0116205867275273,0.0141104475301487,31509.063622812646
